"id","first_name","last_name","birth_date","genre","gender","heigth","awards"
1,SELENA,GOMEZ,1992-07-22,POP,FEMALE,1.65,15
2,BECKY,G,1997-03-02,REGGAETON,FEMALE,1.52,5
3,KAROL,G,1991-02-14,REGGAETON,FEMALE,1.7,10
4,TAYLOR,SWIFT,1989-12-13,POP,FEMALE,1.8,30
5,ARIANA,GRANDE,1993-06-26,POP,FEMALE,1.53,20
6,DUA,LIPA,1995-08-22,POP,FEMALE,1.65,18
7,CAMILA,CABELLO,1997-03-03,POP,FEMALE,1.6,12
8,SHAWN,MENDES,1998-08-08,POP,MALE,1.88,25
9,BILLIE,EILISH,2001-12-18,POP,FEMALE,1.61,8
10,ED,SHEERAN,1991-02-17,POP,MALE,1.73,22
11,JUSTIN,BIEBER,1994-03-01,POP,MALE,1.75,17
12,RIHANNA,FENTY,1988-02-20,R&B,FEMALE,1.73,30
13,KATY,PERRY,1984-10-25,POP,FEMALE,1.7,28
14,HARRY,STYLES,1994-02-01,POP,MALE,1.8,15
15,THE WEEKND,TESFAYE,1990-02-16,R&B,MALE,1.78,21
16,BEYONCE,KNOWLES,1981-09-04,R&B,FEMALE,1.69,27
17,ZAYN,MALIK,1993-01-12,POP,MALE,1.75,10
18,CARDI,B,1992-10-11,HIP HOP,FEMALE,1.6,8
19,POST,MALONE,1995-07-04,HIP HOP,MALE,1.84,12
20,LIZZO,JEFFERSON,1988-04-27,POP,FEMALE,1.78,14
