"atomic_number","symbol","name","family","period","atomic_mass","density","melting_point","boiling_point","thermal_capacity","electronegativity","discovery_year","discoverers","electronic_configuration","electronic_configuration_small","name_spanish"
1,H,HYDROGEN,1,1,1008.0,0.00008988,-259.14,-252.87,14304.0,2.2,1766,HENRY CAVENDISH,"1s1","1s1",HIDROGENO
2,HE,HELIUM,18,1,4.002602,0.0001785,-272.2,-268.93,5193.0,,1895,RAMSAY Y CLEVE,"1s2","1s2",HELIO
3,LI,LITHIUM,1,2,6.94,534.0,180.54,1286.85,3582.0,0.98,1817,ARFWEDSON,"1s2 2s1",[HE] 2s1,LITIO
4,BE,NERYLLIUM,2,2,9.0121831,1.85,1286.85,2468.85,1825.0,1.57,1797,VAUQUELIN,"1s2 2s2",[HE] 2s2,BERILIO
5,B,BORON,13,2,10.81,2.34,2075.85,3926.85,1026.0,2.04,1808,DAVY Y GAY-LUSSAC,"1s2 2s2 2p1",[HE] 2s2 2p1,BORO
6,C,CARBON,14,2,12011.0,2267.0,3526.85,4026.85,709.0,2.55,0,DESCONOCIDO,"1s2 2s2 2p2",[HE] 2s2 2p2,CARBONO
7,N,NITROGEN,15,2,14007.0,0.0012506,-210.0,-195.79,1.04,3.04,1772,RUTHERFORD,"1s2 2s2 2p3",[HE] 2s2 2p3,NITROGENO
8,O,OXYGEN,16,2,15999.0,0.001429,-218.79,-182.95,918.0,3.44,1774,PRIESTLY Y SCHEELE,"1s2 2s2 2p4",[HE] 2s2 2p4,OXIGENO
9,F,FLUORINE,17,2,18.998403163,0.001696,-219.62,-188.12,824.0,3.98,1886,MOISSAN,"1s2 2s2 2p5",[HE] 2s2 2p5,FLUOR
10,NE,NEON,18,2,20.1797,0.0008999,-248.59,-246.08,1.03,,1898,RAMSAY Y TRAVERS,"1s2 2s2 2p6",[HE] 2s2 2p6,NEON
11,NA,SODIUM,1,3,22.98976928,971.0,97.72,882.85,1228.0,0.93,1807,DAVY,"1s2 2s2 2p6 3s1",[NE] 3s1,SODIO
12,MG,MAGNESIUM,2,3,24305.0,1738.0,649.85,1089.85,1023.0,1.31,1755,BLACK,"1s2 2s2 2p6 3s2",[NE] 3s2,MAGNESIO
13,AL,ALUMINIUM,13,3,26.9815385,2698.0,660.32,2518.85,897.0,1.61,1825,OERSTED,"1s2 2s2 2p6 3s2 3p1",[NE] 3s2 3p1,ALUMINIO
14,SI,SILICON,14,3,28085.0,2.3296,1413.85,3264.85,705.0,1.9,1824,BERZELIUS,"1s2 2s2 2p6 3s2 3p2",[NE] 3s2 3p2,SILICIO
15,P,PHOSPHORUS,15,3,30.973761998,1.82,44.15,276.85,769.0,2.19,1669,BRAND,"1s2 2s2 2p6 3s2 3p3",[NE] 3s2 3p3,FOSFORO
16,S,SULFUR,16,3,32.06,2067.0,115.21,444.72,0.71,2.58,0,DESCONOCIDO,"1s2 2s2 2p6 3s2 3p4",[NE] 3s2 3p4,AZUFRE
17,CL,CHLORINE,17,3,35.45,0.003214,-101.55,-34.04,479.0,3.16,1774,SCHEELE,"1s2 2s2 2p6 3s2 3p5",[NE] 3s2 3p5,CLORO
18,AR,ARGON,18,3,39948.0,0.0017837,-189.35,-185.85,0.52,,1894,RAMSAY Y RAYLEIGH,"1s2 2s2 2p6 3s2 3p6",[NE] 3s2 3p6,ARGON
19,K,POTASSIUM,1,4,39.0983,862.0,63.38,758.85,757.0,0.82,1807,DAVY,"1s2 2s2 2p6 3s2 3p6 4s1",[AR] 4s1,POTASIO
20,CA,CALCIUM,2,4,40078.0,1.54,841.85,1483.85,647.0,1.0,1808,DAVY,"1s2 2s2 2p6 3s2 3p6 4s2",[AR] 4s2,CALCIO
21,SC,SCANDIUM,3,4,44.955908,2989.0,1540.85,2835.85,568.0,1.36,1879,NILSON,"1s2 2s2 2p6 3s2 3p6 4s2 3d1",[AR] 4s2 3d1,ESCANDIO
22,TI,TITANIUM,4,4,47867.0,4.54,1667.85,3286.85,523.0,1.54,1791,GREGOR Y KLAPROTH,"1s2 2s2 2p6 3s2 3p6 4s2 3d2",[AR] 4s2 3d2,TITANIO
23,V,VANADIUM,5,4,50.9415,6.11,1909.85,3406.85,489.0,1.63,1801,DEL RIO,"1s2 2s2 2p6 3s2 3p6 4s2 3d3",[AR] 4s2 3d3,VANADIO
